Tur,Algoritma,Sure_Saniye,Yol_Uzunlugu_Piksel
1,A*,0.23331570625305176,0
1,RRT,0.5210130214691162,0
2,A*,0.24508285522460938,0
2,RRT,0.5238585472106934,0
3,A*,0.22735238075256348,0
3,RRT,0.5512332916259766,0
4,A*,0.24898791313171387,0
4,RRT,0.5564484596252441,0
5,A*,0.24080991744995117,0
5,RRT,0.5116872787475586,0
6,A*,0.21924161911010742,0
6,RRT,0.5497181415557861,0
7,A*,0.2240138053894043,0
7,RRT,0.5338802337646484,0
8,A*,0.23241233825683594,0
8,RRT,0.5154259204864502,0
9,A*,0.22842073440551758,0
9,RRT,0.5348701477050781,0
10,A*,0.24261021614074707,0
10,RRT,0.5052359104156494,0
